HASH(0x1d198a8)	HASH(0x1d198b4)	HASH(0x1d198f0)	HASH(0x1d1992c)	HASH(0x1d19968)
"Courant Moy Max"	"Current Avr Max"	"Maximaler Mittelwertsstrom"	HASH(0x1dc9040)	"Currente massima media"
"Courant"	"Current"	"Strom"	HASH(0x1dc9274)	"Corrente"
"Courbe arrêtée"	"Curve stopped"	"Kurve gestoppt"	HASH(0x1dc94a8)	"Curva fermata"
"Courbe inactive"	"Curve inactive"	"Kurve inaktiv"	HASH(0x1dc96dc)	"Curva inattiva"
"Data transfer and visualisation software"	"Data transfer and visualisation software"	"Datentransfer und Ansicht"	HASH(0x1dc9910)	"Software di trasferimento dati e visualizzazione"
"Date / heure"	"Date / time"	"Datum / Zeit"	HASH(0x1dcc728)	"Data / Ora"
"Date / Heure"	"Date / Time"	"Datum / Zeit"	HASH(0x1dcc95c)	"Data / Ora"
"Date de début"	"Start date"	"Datum Start"	HASH(0x1dccb90)	"Start date"
"Date de fin"	"End date"	"Datum Ende"	HASH(0x1dccdc4)	"End date"
"Date maxima moyen"	"Date maxima average"	"Durchschnittlicher Maximalwert"	HASH(0x1dccff8)	"Data massima media"
"Date maxima"	"Date maxima"	"Maximalwert"	HASH(0x1dcd22c)	"Data massima"
"Date minima moyen"	"Date minima average"	"Durchschnittlicher Minimalwert"	HASH(0x1dcd460)	"Data minima media"
"Date minima"	"Date minima"	"Minimalwert"	HASH(0x1dcd694)	"Data minima"
"dd/mm/yyyy hh:nn"	"dd/mm/yyyy hh:nn"	"dd/mm/yyyy hh:nn"	HASH(0x1da9694)	"dd/mm/yyyy hh:nn"
"dd/mm/yyyy hh:nn:ss"	"dd/mm/yyyy hh:nn:ss"	"dd/mm/yyyy hh:nn:ss"	HASH(0x1dd316c)	"dd/mm/yyyy hh:nn:ss"
"Débordement"	"Overflow"	"Datenüberlauf"	HASH(0x1dd33a0)	"Overflow"
"Défaut chevauchement de zone"	"Memory area overlapping failure"	"Speicherbereich überlappt"	HASH(0x1dd35d4)	"Errore di sovrapposizione di memoria"
"Défaut de crc"	"CRC error"	"CRC Fehler"	HASH(0x1dd3808)	"CRC error"
"Défaut de paramètre demandé"	"Requested parameter error"	"Falsche Parameter"	HASH(0x1dd3a3c)	"Errore del parametro richiesto"
"Défaut de réponse"	"Reply error"	"Keine Antwort"	HASH(0x1dd3c70)	"Errore di risposta"
"Défaut écriture produit"	"Data writing error"	"Fehler beim Schreiben"	HASH(0x1dd3ea4)	"Errore di scrittura dati"
"Délai d'attente de l'interrogation en cours dépassé"	"Time out of the request in progress exceeded"	"Zeitüberschreitung"	HASH(0x1dd40d8)	"Tempo scaduto per la richiesta in corso"
"Demande impossible, échange en cour. réessayez."	"Request impossible, data exchange in progress. retry."	"Datenaustausch - bitte warten"	HASH(0x1dd8ff0)	"Richiesta impossibile, scambio dati in corso. Riprovare"
"demarrage du mail impossible"	"impossible to start e-mail"	"E-Mail kann nicht gestartet werden"	HASH(0x1dd9224)	HASH(0x1dd9284)
"démarrage du navigateur WEB impossible"	"impossible to start WEB browser"	"Web-Browser kann nicht gestartet werden"	HASH(0x1dd9434)	HASH(0x1dd9494)
"Démonstration de la version Eset limitée à %0 jours."	"%0 days E.set demo version."	"%0 Tage E.set demo version."	HASH(0x1dd9644)	"%0 giorni, E.set versione demo"
"Démonstration de la version Eview limitée à %0 jours."	"%0 days E.view demo version."	"%0 Tage E.view demo version."	HASH(0x1dd9878)	"%0 giorni, E.view versione demo"
"Description"	"Description"	"Beschreibung"	HASH(0x1dd9aac)	"Descrizione"
"Deséquilibre U"	"Unbalance V"	"Symmetrie V"	HASH(0x1dd9ce0)	"Squilibrio V"
"Déséquilibre U"	"Unbalance V"	"Symmetrie V"	HASH(0x1decbd0)	"Squilibrio V"
"Diagnostic"	"Diagnostic"	"Diagnose"	HASH(0x1dece04)	"Diagnostica"
"Donnée produit invalide"	"Equipment data invalid"	"Eingabe ungültig"	HASH(0x1ded038)	"Dati prodotto invalidi"
"Durée"	"Duration"	"Dauer"	HASH(0x1ded26c)	"Durata"
"E active générateur"	"E active generator"	"E Wirkleistung Abgabe"	HASH(0x1ded4a0)	"E generatore attivo"
"E active récepteur"	"E active receiver"	"E Wirkleistung Bezug"	HASH(0x1ded6d4)	"E ricevitore attivo"
"E apparente générateur"	"E apparent generator"	"E Scheinleistung Abgabe"	HASH(0x1ded908)	"E generatore apparente"
"E apparente récepteur"	"E apparent receiver"	"E Scheinleistung Bezug"	HASH(0x1d25510)	"E ricevitore apparente"
"E réactive Q1"	"E reactive Q1"	"E Blindleistung Q1"	HASH(0x1d25744)	"E reattiva Q1"
"E réactive Q2"	"E reactive Q2"	"E Blindleistung Q2"	HASH(0x1d25978)	"E reattiva Q2"
"E réactive Q3"	"E reactive Q3"	"E Blindleistung Q3"	HASH(0x1d25bac)	"E reattiva Q3"
"E réactive Q4"	"E reactive Q4"	"E Blindleistung Q4"	HASH(0x1d25de0)	"E reattiva Q4"
"Echec de communication"	"Communication failure"	"Kommunikationsfehler"	HASH(0x1d26014)	"Errore di comunicazione"
"Ecran inconnu"	"Unknown screen"	"unbekannter Bildschirm"	HASH(0x1d26248)	"Schermata sconosciuta"
"Ecran principal"	"Main screen"	"Hauptschirm"	HASH(0x1dee038)	"Schermata principale"
"Ecran utilisateur 1"	"User screen 1"	"Benutzerbildschirm 1"	HASH(0x1dee26c)	"Schermata utente 1"
"Ecran utilisateur 2"	"User screen 2"	"Benutzerbildschirm 2"	HASH(0x1dee4a0)	"Schermata utente 2"
"Ecran utilisateur 3"	"User screen 3"	"Benutzerbildschirm 3"	HASH(0x1dee6d4)	"Schermata utente 3"
"Ecraser toute la configuration du produit sauf les index d'énergies ?"	"Overwrite equipment settings except energy indexes ?"	"Konfiguration überschreiben ohne Energieindices ?"	HASH(0x1dee908)	"Sovrascrivere le impostazioni dello strumento eccetto gli indici di energia?"
"Ecriture des time outs de communication impossible"	"Communication time out writing impossible"	"Zeitüberschreitung - schreiben nicht möglich"	HASH(0x1deeb3c)	"Timeout di comunicazione, scrittura impossibile"
"Ecriture état du port de communication impossible"	"Communication port status writing impossible"	"Kommunikation - schreiben nicht möglich"	HASH(0x1deed70)	"Porta di comunicazione impegnata, scrittura impossibile"
"Ecriture sur le port de communication impossible"	"Writing to the communication port impossible"	"Kommunikation - schreiben nicht möglich"	HASH(0x1deefa4)	"Scrittura sulla porta di comunicazione impossibile"
"Effacement des erreurs du port de communication impossible"	"Communication port errors erasing impossible"	"Kommunikation - löschen nicht möglich"	HASH(0x1df3324)	"Errore sulla porta di comunicazione, eliminazione impossibile"
"En cours de fonctionnement"	"Operation in progress"	"Daten werden gesichert, bitte warten"	HASH(0x1df3558)	"Operazione in corso"
"En cours de programmation"	"Setting in progress"	"Daten werden gesichert, bitte warten"	HASH(0x1df378c)	"Configurazione in corso"
"Energie active EP-"	"Active Energy EP-"	"Wirkenergie EP-"	HASH(0x1df39c0)	"Energia Attiva EP-"
"Energie active EP+"	"Active Energy EP+"	"Wirkenergie EP+"	HASH(0x1df3bf4)	"Energia Attiva EP+"
"Energie apparante ES-"	"Apparent Energy ES-"	"Scheinenergie  ES-"	HASH(0x1df3e28)	"Energia apparente ES-"
"Energie apparante ES+"	"Apparent Energy ES+"	"Scheinenergie  ES+"	HASH(0x1df405c)	"Energia apparente ES+"
"Energie réactive EQ1"	"Reactive Energy EQ1"	"Blindenergie EQ1"	HASH(0x1df6fdc)	"Energia reattiva EQ1"
"Energie réactive EQ2"	"Reactive Energy EQ2"	"Blindenergie EQ2"	HASH(0x1df7210)	"Energia reattiva EQ2"
"Energie réactive EQ3"	"Reactive Energy EQ3"	"Blindenergie EQ3"	HASH(0x1df7444)	"Energia reattiva EQ3"
"Energie réactive EQ4"	"Reactive Energy EQ4"	"Blindenergie EQ4"	HASH(0x1df7678)	"Energia reattiva EQ4"
"Enerium 100"	"Enerium 100"	"Enerium 100"	HASH(0x1df78ac)	"Enerium 100"
"Enerium 110"	"Enerium 110"	"Enerium 110"	HASH(0x1df7ae0)	"Enerium 110"
"Enerium 200"	"Enerium 200"	"Enerium 200"	HASH(0x1df7d14)	"Enerium 200"
"Enerium 210"	"Enerium 210"	"Enerium 210"	HASH(0x1dfab24)	"Enerium 210"
"Entrée A1"	"Input A1"	"Eingang  A1"	HASH(0x1dfad58)	"Ingresso A1"
"Entrée A2"	"Input A2"	"Eingang A2"	HASH(0x1dfaf8c)	"Ingresso A2"
"Entrée alarme"	"Alarm input"	"Eingang Alarm"	HASH(0x1dfb1c0)	"Ingresso Allarme"
"Entrée B1"	"Input B1"	"Eingang B1"	HASH(0x1dfb3f4)	"Ingresso B1"
"Entrée B2"	"Input B2"	"Eingang B2"	HASH(0x1dfb628)	"Ingresso B2"
"Entrée C1"	"Input C1"	"Eingang C1"	HASH(0x1dfb85c)	"Ingresso C1"
"Entrée C2"	"Input C2"	"Eingang C2"	HASH(0x1dfe5b4)	"Ingresso C2"
"Entrée D1"	"Input D1"	"Eingang D1"	HASH(0x1dfe7e8)	"Ingresso D1"
"Entrée D2"	"Input D2"	"Eingang D2"	HASH(0x1dfea1c)	"Ingresso D2"
"Entrée impulsion"	"Pulse input"	"Eingang Impuls"	HASH(0x1dfec50)	"Impulso d'ingresso"
"Entrée synchro"	"Synchro input"	"Eingang Synchronisation"	HASH(0x1dfee84)	"Ingresso Synchro"
"Entrée TOR A1"	"BIN input A1 "	"Eingang A1 "	HASH(0x1dff0b8)	"Ingresso BIN A1"
"Entrée TOR A2"	"BIN input A2"	"Eingang A2"	HASH(0x1dff2ec)	"Ingresso BIN A2"
"Entrée TOR B1"	"BIN input B1"	"Eingang B1"	HASH(0x1dff520)	"Ingresso BIN B1"
"Entrée TOR B2"	"BIN input B2"	"Eingang B2"	HASH(0x1e032e0)	"Ingresso BIN B2"
"Entrée TOR C1"	"BIN input C1"	"Eingang C1"	HASH(0x1e03514)	"Ingresso BIN C1"
"Entrée TOR C2"	"BIN input C2"	"Eingang C2"	HASH(0x1e03748)	"Ingresso BIN C2"
"Entrée TOR D1"	"BIN input D1"	"Eingang D1"	HASH(0x1e0397c)	"Ingresso BIN D1"
"Entrée TOR D2"	"BIN input D2"	"Binärer Eingang D2"	HASH(0x1e03bb0)	"Ingresso BIN D2"
"Entrée TOR"	"Binary input"	"Binärer Eingang"	HASH(0x1e03de4)	"Ingresso digitale"
"Envoyer tous les index ?"	"Send all the indexes ?"	"Indices senden?"	HASH(0x1e04018)	"Invio tutti gli indici?"
"EP-"	"EP-"	"EP-"	HASH(0x1e08df8)	"EP-"
"EP+"	"EP+"	"EP+"	HASH(0x1e0902c)	"EP+"
"EQ1"	"EQ1"	"EQ1"	HASH(0x1e09260)	"EQ1"
"EQ2"	"EQ2"	"EQ2"	HASH(0x1e09494)	"EQ2"
"EQ3"	"EQ3"	"EQ3"	HASH(0x1e096c8)	"EQ3"
"EQ4"	"EQ4"	"EQ4"	HASH(0x1e098fc)	"EQ4"
"Erreur acquittement "	"Acknowledgement error"	"Bestätigungsfehler"	HASH(0x1e09b30)	"Errore di riconoscimento"
"Erreur acquittement"	"Acknowledgement error"	"Bestätigungsfehler"	HASH(0x1e0d8a0)	HASH(0x1e0d900)
"Erreur non acquittement "	"No acknowledgement error"	"Fehler: Bestätigung fehlt"	HASH(0x1e0dab0)	"Errore di nessun riconoscimento"
"Erreur non acquittement"	"No acknowledgement error"	"Fehler: Bestätigung fehlt"	HASH(0x1e0dce4)	HASH(0x1e0dd44)
"Erreur"	"Error"	"Fehler"	HASH(0x1e0def4)	"Errore"
"ES-"	"ES-"	"ES-"	HASH(0x1e0e128)	"ES-"
"ES+"	"ES+"	"ES+"	HASH(0x1e0e35c)	"ES+"
"Esclave non pret"	"Slave not ready"	"Slave nicht bereit"	HASH(0x1e0e590)	"Slave non pronto"
"ET"	"AND"	"UND"	HASH(0x1e112f0)	"AND"
"Etat inconnu"	"Unknown status"	"Status unbekannt"	HASH(0x1e11524)	"Stato sconosciuto"
"Etat"	"Status"	"Status"	HASH(0x1e11758)	"Stato"
"Etendue de mesure "	"Measurement range"	"Messbereich"	HASH(0x1e1198c)	HASH(0x1e119ec)
"Extrême"	"Extremes"	"Extreme"	HASH(0x1e11b9c)	"Estremi"
"Facteur de crête I1"	"Peak factor I1"	"Spitzenwert I1"	HASH(0x1e11dd0)	"Fattore di cresta I1"
"Facteur de crête I2"	"Peak factor I2"	"Spitzenwert I2"	HASH(0x1e12004)	"Fattore di cresta I2"
"Facteur de crête I3"	"Peak factor I3"	"Spitzenwert I3"	HASH(0x1e12238)	"Fattore di cresta I3"
"Facteur de crête V1"	"Peak factor V1"	"Spitzenwert V1"	HASH(0x1e16078)	"Fattore di cresta V1"
"Facteur de crête V2"	"Peak factor V2"	"Spitzenwert V2"	HASH(0x1e162ac)	"Fattore di cresta V2"
"Facteur de crête V3"	"Peak factor V3"	"Spitzenwert V3"	HASH(0x1e164e0)	"Fattore di cresta V3"
"Fct."	"Fct."	"Fct."	HASH(0x1e16714)	"Fct."
"Fermé"	"Closed"	"Geschlossen"	HASH(0x1e16948)	"Chiuso"
"Fermeture port de communication impossible"	"Communication port closing impossible"	"Schliessen der Kommunikation nicht möglich"	HASH(0x1e16b7c)	"Chiusura porta di comunicazione impossibile"
"Fonction inconnue par le produit"	"Unknown function in the product"	"Unbekannte Funktion"	HASH(0x1e16db0)	"Funzione sconosciuta"
"Fonction oubliée"	"Function forgotten"	"Funktion vergessen"	HASH(0x1e1ac50)	"Funzione obsoleta"
"FP1"	"PF1"	"PF1"	HASH(0x1e1ae84)	"FC1"
"FP2"	"PF2"	"PF2"	HASH(0x1e1b0b8)	"FC2"
"FP3"	"PF3"	"PF3"	HASH(0x1e1b2ec)	"FC3"
"FPt générateur"	"PFt generator"	"PFt Abgabe"	HASH(0x1e1b520)	"FC generatore"
"FPt récepteur"	"PFt receiver"	"PFt Bezug"	HASH(0x1e1b754)	"FC ricevitore"
"FPt"	"PFt"	"PFt"	HASH(0x1e1b988)	"FCt"
"Fréquence"	"Frequency"	"Frequenz"	HASH(0x1e1f6d8)	"Frequenza"
"Générateur"	"Generator"	"Abgabe"	HASH(0x1e1f90c)	"Generatore"
"Grandeur"	"Parameter"	"Messgrösse"	HASH(0x1e1fb40)	"Parametro"
"h"	"h"	"h"	HASH(0x1e1fd74)	"h"
"H%0"	"H%0"	"H%0"	HASH(0x1e1ffa8)	"H%0"
"Harmonique Courant"	"Harmonic Current"	"Stromhanmonische"	HASH(0x1e201dc)	"Armoniche di corrente"
"Harmonique Ph-Ph"	"Harmonic Ph-Ph"	"Spannungsharmonische Phase-Phase"	HASH(0x1e20410)	"Armoniche Ph-Ph"
"http://www.enerdis.com"	"http://www.enerdis.com"	"http://www.enerdis.com"	"http://www.enerdis.com"	"http://www.enerdis.com"
"Hz"	"Hz"	"Hz"	HASH(0x1e233b0)	"Hz"
